city,num,rate1mil
Miami,9,21.6121719752565
Las Vegas,11,18.4145722880776
Kansas City,8,17.2041160847733
Bakersfield,6,16.7270699749094
Arlington,5,13.3224977018691
Cleveland,5,12.7513937273344
Tulsa,5,12.6390612716412
Oakland,5,12.4273311809196
Indianapolis,10,11.9746568362717
Aurora,4,11.7827265229174
Oklahoma City,7,11.6525088683916
Omaha,5,11.4822690800865
Atlanta,5,11.3471056937507
Denver,7,11.0448943398072
New Orleans,4,10.8556711382985
Long Beach,5,10.6702177151223
Fresno,5,9.87884583468344
Columbus,8,9.85290839381582
San Francisco,8,9.64934287974989
Washington,6,9.46766476892586
Albuquerque,5,9.03218347616226
Anaheim,3,8.7470442279713
Tampa,3,8.59761444857767
San Jose,8,8.11095790412848
Houston,17,7.84137181571116
Tucson,4,7.61859775898947
Dallas,9,7.25230361366173
Jacksonville,6,7.16389682555792
Austin,6,6.94269270022147
San Diego,9,6.70885792875193
Mesa,3,6.63583216653284
Fort Worth,5,6.42200538677812
Nashville,4,6.40757631823869
Corpus Christi,2,6.39631572214404
Riverside,2,6.38893946799301
St. Louis,2,6.27496258553558
Memphis,4,6.09092224176393
Santa Ana,2,6.03744422910893
El Paso,4,5.97219049496022
Honolulu,2,5.79491785703938
San Antonio,8,5.77434717396231
Phoenix,8,5.36639749711221
Wichita,2,5.18782521179296
Portland,3,4.97869120165691
Louisville,3,4.95244006722112
Los Angeles,19,4.91946320888818
Baltimore,3,4.82105063549483
Seattle,3,4.70330014893784
Virginia Beach,2,4.48809868431387
Detroit,3,4.313834322879
Sacramento,2,4.20101874704616
Chicago,10,3.68648916467105
Boston,2,3.12698368027217
Philadelphia,4,2.58578336306984
Charlotte,2,2.58128798526601
Minneapolis,1,2.53534267691621
Raleigh,1,2.36246329322658
Colorado Springs,1,2.30655499865067
Milwaukee,1,1.67202271275653
New York,9,1.07721359314289
