state,rate1mil
AK,6.78672841684629
AL,4.33045316955147
AR,2.02267485939881
AZ,6.38789307082955
CA,5.54088009793183
CO,5.41462389088898
CT,1.11213767597146
DC,9.10618264270527
DE,3.20645052339961
FL,4.17225963097017
GA,4.06047412670838
HI,3.52221567090107
IA,1.60920413269369
ID,4.28274957417233
IL,1.78563387673536
IN,3.33492247442152
KS,4.47655165028077
KY,4.30501532019005
LA,6.23699371741171
MA,1.77898801673672
MD,3.51381691374098
ME,1.50365877772089
MI,2.11909794642254
MN,2.56543085586622
MO,3.7931330767966
MS,4.67589532540724
MT,3.90785664809458
NC,2.91634201411027
ND,1.3522979599233
NE,5.3148998433699
NH,3.01474284620365
NJ,2.68511189364719
NM,10.0691800618727
NV,7.04448840987933
NY,1.41799240938535
OH,3.27751127873569
OK,9.54087504264384
OR,4.78560610582889
PA,1.87687555587775
RI,0.947711891794047
SC,4.55252601044349
SD,3.51627743428957
TN,3.66448466962838
TX,4.34025233856135
UT,3.73780710332862
VA,2.52213200862953
VT,1.59601124868728
WA,2.97385977259886
WI,1.91053021729329
WV,6.4853436637652
WY,11.9831619455862
